institution_id,form,code,parent_code,level,name,unit,plan_2025,fact_2026,plan_percent,deviation,deviation_pct,formula,evidence
agik,form1,1,,0,"Темп роста числа мероприятий, проведенных творческими инкубаторами и центрами прототипирования по отношению к предыдущему году",процент,35.0,23.0,0.1,-12.0,-34.285714285714285,"I(тицп)=(ОМi+МКi+КПКi+КППКi)/(ОМп+МКп+КПКп+КППКп) х 100%, 
где:
ОМi - количество разработанных образовательных модулей, проведенных в i-ом отчетном периоде, единица;
МКi - количество разработанных мастер-классов, проведенных в i-ом отчетном периоде, единица;
КПКi - количество разработанных курсов повышения квалификации, проведенных в i-ом отчетном периоде, единица;
КППКi - количество разработанных курсов профессиональной переподготовки кадров, проведенных в i-ом отчетном периоде, единица;
ОМп - количество разработанных образовательных модулей в предыдущем отчетном периоде, единица;
МКп - количество разработанных мастер-классов в предыдущем отчетном периоде, единица;
КПКп - количество разработанных курсов повышения квалификации в предыдущем отчетном периоде, единица;
КППКп - количество разработанных курсов профессиональной переподготовки кадров в предыдущем отчетном периоде, единица",
agik,appendix_f1,1,,0,Количество разработанных образовательных модулей в отчетном году,единиц,4.0,3.0,,-1.0,-25.0,,"Копии локальных актов ВУЗа, подтверждающих количество разработанных образовательных модулей в отчетном году, РПД доступны по ссылке"
agik,appendix_f1,2,,0,Количество разработанных мастер-классов в отчетном году,единиц,29.0,19.0,,-10.0,-34.48275862068966,,"Копии локальных актов ВУЗа, подтверждающих количество разработанных курсов повышения квалификации в отчетном году, программы повышения квалификации"
agik,appendix_f1,3,,0,Количество разработанных курсов повышения квалификации в отчетном году,единиц,1.0,1.0,,0.0,0.0,,"Копии локальных актов ВУЗа, подтверждающих количество разработанных курсов повышения квалификации в отчетном году, программы повышения квалификации"
agik,appendix_f1,4,,0,Количество разработанных курсов профессиональной переподготовки кадров в отчетном году,единиц,1.0,0.0,,-1.0,-100.0,,"Копии локальных актов, подтверждающих количество разработанных курсов профессиональной переподготовки кадров в отчетном году, программы профессиональной переподготовки"
agik,form2,1,,0,Участие в федеральных и международных мероприятиях с целью презентации услуг и продвижения деятельности центра,единиц,,3.0,,,,не требуется,Ссылка на публикации в сети Интернет и СМИ
agik,form2,2,,0,"Количество публикаций в средствах массовой информации и сети Интернет, в том числе научных изданиях",единиц,,47.0,,,,не требуется,Ссылки на публикации в сети Интернет и СМИ
agik,form2,3,,0,"Количество резидентов, которые создали на базе центра прототипы/ творческие продукты (проекты)",единиц,,356.0,,,,не требуется,Ссылки на фото-  и видеоматериалы
agik,form2,3.1,3,1,"Количество человек, прошедших обучение в рамках образовательных модулей",человек,,11.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество человек, прошедших обучение в рамках образовательных модулей"
agik,form2,3.2,3,1,"Количество человек, прошедших обучение в рамках мастер-классов",человек,,409.0,,,,не требуется,Копии журнала регистрации участников мастер-классов
agik,form2,3.3,3,1,"Количество человек, прошедших обучение в рамках курсов повышения квалификации",человек,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество человек, прошедших обучение в рамках курсов повышения квалификации.Отчет ФИС ФРДО (показатель ВУЗа, учитывается в мониторинге ""1-ПК"")"
